type,vaccine,dose,week_wane,central
death,AZ,1,24,0.869
death,AZ,2,24,0.985
death,AZ,waned,24,0.821
death,AZ,booster,24,0.987972927
death,PF,1,24,0.89
death,PF,2,24,0.99
death,PF,waned,24,0.904
death,PF,booster,24,0.987972927
severe_disease,AZ,1,24,0.807
severe_disease,AZ,2,24,0.985
severe_disease,AZ,waned,24,0.774
severe_disease,AZ,booster,24,0.98735886
severe_disease,PF,1,24,0.89
severe_disease,PF,2,24,0.99
severe_disease,PF,waned,24,0.904
severe_disease,PF,booster,24,0.98735886
disease,AZ,1,24,0.512
disease,AZ,2,24,0.873
disease,AZ,waned,24,0.194
disease,AZ,booster,24,0.923231444
disease,PF,1,24,0.512
disease,PF,2,24,0.953
disease,PF,waned,24,0.487
disease,PF,booster,24,0.923231444
infection,AZ,1,24,0.512
infection,AZ,2,24,0.873
infection,AZ,waned,24,0.194
infection,AZ,booster,24,0.923231444
infection,PF,1,24,0.512
infection,PF,2,24,0.953
infection,PF,waned,24,0.487
infection,PF,booster,24,0.923231444
transmission,AZ,1,24,0.33
transmission,AZ,2,24,0.4
transmission,AZ,waned,24,0.19
transmission,AZ,booster,24,0.4
transmission,PF,1,24,0.33
transmission,PF,2,24,0.4
transmission,PF,waned,24,0.19
transmission,PF,booster,24,0.4
